City,PM2.5,PM10,SO2,NO2,CO,NO,O3,NH3,AQI,AQI_Bucket,PM10_SubIndex,PM2.5_SubIndex,SO2_SubIndex,NO_SubIndex,NH3_SubIndex,CO_SubIndex,O3_SubIndex
Munshiganj,87.2,106.12,9.78,1.5,400.54,0.15,151.63,3.67,190.66666666666669,Moderate,104.08,190.66666666666669,12.224999999999998,0.1875,0.9175,2556.1176470588234,175.9264705882353
Mymensingh,126.63,148.64,13.83,1.86,567.44,0.15,191.69,7.22,305.1,Very Poor,132.42666666666665,305.1,17.2875,0.1875,1.805,3537.882352941177,259.225
Narayanganj,89.07,108.89,10.49,9.0,494.0,1.05,165.94,5.07,196.89999999999998,Moderate,105.92666666666666,196.89999999999998,13.1125,1.3125,1.2675,3105.8823529411766,196.97058823529412
Narsingdi,85.04,103.98,8.35,1.84,413.9,0.17,174.52,4.69,183.4666666666667,Moderate,102.65333333333334,183.4666666666667,10.4375,0.2125,1.1725,2634.705882352941,216.3
Netrokona,78.86,90.52,8.7,2.42,494.0,0.2,114.44,6.02,162.86666666666667,Moderate,90.52,162.86666666666667,10.874999999999998,0.25,1.505,3105.8823529411766,121.23529411764706
Rajbari,101.3,121.94,14.31,2.04,453.95,0.17,191.69,4.88,237.66666666666666,Poor,114.62666666666667,237.66666666666666,17.8875,0.2125,1.22,2870.294117647059,259.225
Shariatpur,88.15,106.1,9.66,1.32,393.87,0.12,150.2,3.26,193.83333333333334,Moderate,104.06666666666666,193.83333333333334,12.075,0.15,0.815,2516.8823529411766,173.8235294117647
Sherpur,152.0,173.96,15.02,3.3,654.22,0.26,203.13,10.26,324.61538461538464,Very Poor,149.30666666666667,324.61538461538464,18.775,0.325,2.565,4048.3529411764707,287.825
Tangail,93.36,113.85,13.35,1.86,420.57,0.17,188.83,3.36,211.2,Poor,109.23333333333333,211.2,16.6875,0.2125,0.84,2673.9411764705883,252.07500000000005
Bogra,94.78,110.24,14.66,2.64,453.95,0.24,185.97,5.7,215.93333333333334,Poor,106.82666666666667,215.93333333333334,18.325,0.3,1.425,2870.294117647059,244.925
Joypurhat,91.32,105.71,10.73,2.68,447.27,0.26,175.95,6.46,204.39999999999998,Poor,103.80666666666666,204.39999999999998,13.4125,0.325,1.615,2831.0,219.87499999999997
Naogaon,80.37,98.35,12.64,2.49,407.22,0.25,174.52,5.38,167.90000000000003,Moderate,98.35,167.90000000000003,15.8,0.3125,1.345,2595.4117647058824,216.3
Natore,89.57,110.97,13.83,2.34,427.25,0.22,185.97,4.43,198.56666666666663,Moderate,107.31333333333333,198.56666666666663,17.2875,0.275,1.1075,2713.235294117647,244.925
Nawabganj,128.43,144.53,33.85,6.68,660.9,0.85,171.66,11.4,306.4846153846154,Very Poor,129.68666666666667,306.4846153846154,42.3125,1.0625,2.85,4087.6470588235293,209.14999999999998
Pabna,97.78,120.21,14.31,2.36,433.92,0.2,197.41,4.02,225.93333333333334,Poor,113.47333333333333,225.93333333333334,17.8875,0.25,1.005,2752.470588235294,273.525
Rajshahi,91.55,115.57,19.07,5.01,427.25,0.51,188.83,4.81,205.16666666666666,Poor,110.38,205.16666666666666,23.8375,0.6375,1.2025,2713.235294117647,252.07500000000005
Sirajgonj,97.74,119.85,15.97,2.01,423.91,0.17,191.69,3.61,225.79999999999998,Poor,113.23333333333333,225.79999999999998,19.9625,0.2125,0.9025,2693.5882352941176,259.225
Dinajpur,113.36,126.34,7.57,1.48,560.76,0.13,177.38,9.37,277.8666666666667,Poor,117.56,277.8666666666667,9.4625,0.1625,2.3425,3498.5882352941176,223.45
